 OBJECTID 	GEO_ID	STATE_FIPS_2DGT	STATE_USPS	STATE_NAME	STATE_FIPS_3DGT	COUNTY_NAME	TOTAL_POPULATION	AGE_0.17	AGE_0.17_PERCENT	AGE_18.24	AGE_18.34_PERCENT	AGE_25.64	AGE_25.64_PERCENT	AGE_65.PLUS	AGE_65.PLUS_PERCENT	WHT_NOT_HISP	WHT_NOT_HISP	BLK_NOT_HISP	BLK_NOT_HISP_PERCENT	NATIVE_NOT_HISP	NATIVE_NOT_HISP_PERCENT	ASN_NOT_HISP	ASN_NOT_HISP_PERCENT	PACIFIC_NOT_HISP	PACIFIC_NOT_HISP_PERCENT	OTHER_NOT_HISP	OTHER_NOT_HISP_PERCENT	TWO_OR_MORE_NOT_HISP	 Two or more races (not Hispanic) as a % 	 Persons of Hispanic Origin 	 Persons of Hispanic Origin as a % 	 Total Households 	 Households with one or more people under 18 years: 	 Households with one or more people under 18 years: as a % 	 Households with one or more people 60 years and over: 	 Households with one or more people 60 years and over: as a % 	 Householder living alone 	 Householder living alone as a % 	 Universe of Population 5 Years and Over 	" Population 5 years and over that speak English ""not at all"" "	" Population 5 years and over that speak English ""not at all"" as a % "	 Average Household Size of Occupied Housing Units 	 Average Household Size of Owner occupied Housing Units 	 Average Household Size of Renter occupied Housing Units 	 Total population 18 years or older 	 Population Ages 18 to 24 	 Population Ages 25 to 34 	 Population Ages 35 to 44 	 Population Ages 45 to 64 	 Population Ages 65 and older 	 Population Ages 18 to 24 having less than High School education 	 Population Ages 18 to 24 having less than High School education as a % 	 Population Ages 18 to 24 having some High School education (No Diploma) 	 Population Ages 18 to 24 having some High School education (No Diploma) as a % 	 Population ages 18 to 24 having High School Education 	 Population ages 18 to 24 having High School Education as a % 	 Population ages 18 to 24 having some College education (No Degree) 	 Population ages 18 to 24 having some College education (No Degree) as a % 	 Population ages 18 to 24 having an Associate's Degree 	 Population ages 18 to 24 having an Associate's Degree as a % 	 Population ages 18 to 24 having a Bachelor's Degree 	 Population ages 18 to 24 having a Bachelor's Degree as a % 	 Population ages 18 to 24 having a Graduate Degree 	 Population ages 18 to 24 having a Graduate Degree as a % 	 Population ages 25 to 34 having less than High School education 	 Population ages 25 to 34 having less than High School education as a % 	 Population ages 25 to 34 having some High School education (No Diploma) 	 Population ages 25 to 34 having some High School education (No Diploma) as a % 	 Population ages 25 to 34 having High School education 	 Population ages 25 to 34 having High School education as a % 	 Population ages 25 to 34 having some College education (No Degree) 	 Population ages 25 to 34 having some College education (No Degree) as a % 	 Population ages 25 to 34 having an Associate's Degree 	 Population ages 25 to 34 having an Associate's Degree as a % 	 Population ages 25 to 34 having a Bachelor's Degree 	 Population ages 25 to 34 having a Bachelor's Degree as a % 	 Population ages 25 to 34 having a Graduate Degree 	 Population ages 25 to 34 having a Graduate Degree as a % 	 Population Ages 35 to 44 having less than High School education 	 Population Ages 35 to 44 having less than High School education as a % 	 Population ages 35 to 44 having some High School education (No Diploma) 	 Population ages 35 to 44 having some High School education (No Diploma) as a % 	 Population ages 35 to 44 having High School education 	 Population ages 35 to 44 having High School education as a % 	 Population ages 35 to 44 having some College education (No Degree) 	 Population ages 35 to 44 having some College education (No Degree) as a % 	 Population ages 35 to 44 having an Associate's Degree 	 Population ages 35 to 44 having an Associate's Degree as a % 	 Population ages 35 to 44 having a Bachelor's Degree 	 Population ages 35 to 44 having a Bachelor's Degree as a % 	 Population ages 35 to 44 having a Graduate Degree 	 Population ages 35 to 44 having a Graduate Degree as a % 	 Population ages 45 to 64 having less than High School education 	 Population ages 45 to 64 having less than High School education as a % 	 Population ages 45 to 64 having some High School education (No Diploma) 	 Population ages 45 to 64 having some High School education (No Diploma) as a % 	 Population ages 45 to 64 having High School education 	 Population ages 45 to 64 having High School education as a % 	 Population ages 45 to 64 having some College education (No Degree) 	 Population ages 45 to 64 having some College education (No Degree) as a % 	 Population ages 45 to 64 having an Associate's Degree 	 Population ages 45 to 64 having an Associate's Degree as a % 	 Population ages 45 to 64 having a Bachelor's Degree 	 Population ages 45 to 64 having a Bachelor's Degree as a % 	 Population ages 45 to 64 having a Graduate Degree 	 Population ages 45 to 64 having a Graduate Degree 	 Population ages 65 and older having less than High School education 	 Population ages 65 and older having less than High School education as a % 	 Population ages 65 and older having some High School education (No Diploma) 	 Population ages 65 and older having some High School education (No Diploma) as a % 	 Population ages 65 and older having High School education 	 Population ages 65 and older having High School education as a % 	 Population ages 65 and older having some College education (No Degree) 	 Population ages 65 and older having some College education (No Degree) as a % 	 Population ages 65 and older having an Associate's Degree 	 Population ages 65 and older having an Associate's Degree as a % 	 Population ages 65 and older having a Bachelor's Degree 	 Population ages 65 and older having a Bachelor's Degree as a % 	 Population ages 65 and older having a Graduate Degree 	 Population ages 65 and older having a Graduate Degree as a % 
3001	42003	42	PA	Pennsylvania	3	Allegheny	1224772	241407	19.71	122120	9.97	655312	53.5	205933	16.81	986370	80.53	158292	12.92	1295	0.11	34191	2.79	341	0.03	2221	0.18	22575	1.84	19487	1.59	524392	133730	25.5	195727	37.32	184952	35.27	1161261	1457	0.13	2	2	2	983365	122120	160231	146510	348571	205933	799	0.65	11497	9.41	31158	25.51	50079	41.01	5323	4.36	21499	17.6	1765	1.45	1205	0.75	5134	3.2	28360	17.7	30223	18.86	17240	10.76	49617	30.97	28452	17.76	1510	1.03	4319	2.95	35106	23.96	25764	17.59	16062	10.96	37872	25.85	25877	17.66	3594	1.03	12662	3.63	114401	32.82	62841	18.03	35470	10.18	69949	20.07	49654	14.25	11333	5.5	23889	11.6	93409	45.36	29086	14.12	7342	3.57	21947	10.66	18927	9.19
3002	17057	17	IL	Illinois	57	Fulton	36989	7686	20.78	3105	8.39	19528	52.79	6670	18.03	34272	92.65	1260	3.41	37	0.1	37	0.1	19	0.05	66	0.18	413	1.12	885	2.39	14665	4406	30.04	5963	40.66	4054	27.64	35054	142	0.41	2	2	2	29303	3105	4546	4654	10328	6670	100	3.22	514	16.55	985	31.72	1016	32.72	275	8.86	210	6.76	5	0.16	105	2.31	712	15.66	1116	24.55	1307	28.75	552	12.14	617	13.57	137	3.01	83	1.78	429	9.22	1641	35.26	1148	24.67	401	8.62	744	15.99	208	4.47	282	2.73	813	7.87	3861	37.38	2770	26.82	1179	11.42	958	9.28	465	4.5	570	8.55	912	13.67	3209	48.11	1109	16.63	225	3.37	397	5.95	248	3.72
3003	25013	25	MA	Massachusetts	13	Hampden	464072	109420	23.58	49309	10.63	238949	51.49	66394	14.31	313556	67.57	36165	7.79	654	0.14	9354	2.02	11	0	1312	0.28	6095	1.31	96925	20.89	177756	59626	33.54	64224	36.13	51988	29.25	436411	8177	1.87	3	3	2	354652	49309	54467	58467	126015	66394	1650	3.35	7865	15.95	14762	29.94	19498	39.54	1890	3.83	3366	6.83	278	0.56	2107	3.87	5564	10.22	14407	26.45	12667	23.26	5232	9.61	10296	18.9	4194	7.7	2488	4.26	5641	9.65	17284	29.56	11959	20.45	6125	10.48	10109	17.29	4861	8.31	7253	5.76	9651	7.66	38551	30.59	23779	18.87	13600	10.79	19564	15.53	13617	10.81	8335	12.55	8714	13.12	25663	38.65	9351	14.08	3213	4.84	5997	9.03	5121	7.71
3004	17077	17	IL	Illinois	77	Jackson	59992	10574	17.63	15166	25.28	27317	45.53	6935	11.56	45440	75.74	8486	14.15	251	0.42	2002	3.34	20	0.03	105	0.18	1290	2.15	2398	4	23496	5667	24.12	6499	27.66	8559	36.43	56906	167	0.29	2	2	2	49418	15166	8487	5964	12866	6935	134	0.88	541	3.57	4335	28.58	7041	46.43	1796	11.84	1245	8.21	74	0.49	187	2.2	278	3.28	1351	15.92	2216	26.11	829	9.77	2304	27.15	1322	15.58	158	2.65	256	4.29	1144	19.18	1409	23.63	577	9.67	1197	20.07	1223	20.51	221	1.72	759	5.9	3391	26.36	2926	22.74	948	7.37	2216	17.22	2405	18.69	751	10.83	626	9.03	2593	37.39	1065	15.36	237	3.42	659	9.5	1004	14.48
3005	17135	17	IL	Illinois	135	Montgomery	29977	6215	20.73	2524	8.42	16011	53.41	5227	17.44	26983	90.01	2208	7.37	20	0.07	150	0.5	0	0	0	0	161	0.54	455	1.52	11547	3346	28.98	4696	40.67	3191	27.63	28347	1	0	2	2	2	23762	2524	3636	3949	8426	5227	110	4.36	531	21.04	834	33.04	757	29.99	126	4.99	166	6.58	0	0	153	4.21	450	12.38	1053	28.96	1050	28.88	411	11.3	400	11	119	3.27	145	3.67	389	9.85	1298	32.87	1124	28.46	480	12.15	344	8.71	169	4.28	360	4.27	665	7.89	3639	43.19	1997	23.7	692	8.21	602	7.14	471	5.59	562	10.75	483	9.24	2693	51.52	765	14.64	193	3.69	366	7	165	3.16
3006	17081	17	IL	Illinois	81	Jefferson	38908	8609	22.13	3312	8.51	20626	53.01	6361	16.35	33900	87.13	3094	7.95	63	0.16	320	0.82	0	0	3	0.01	701	1.8	827	2.13	15178	4507	29.69	5866	38.65	4596	30.28	36517	11	0.03	2	3	2	30299	3312	4701	5012	10913	6361	59	1.78	453	13.68	1119	33.79	1263	38.13	249	7.52	159	4.8	10	0.3	138	2.94	381	8.1	1404	29.87	1324	28.16	593	12.61	597	12.7	264	5.62	96	1.92	382	7.62	1684	33.6	1537	30.67	592	11.81	540	10.77	181	3.61	381	3.49	709	6.5	3577	32.78	3154	28.9	1256	11.51	1108	10.15	728	6.67	620	9.75	826	12.99	2669	41.96	1051	16.52	316	4.97	466	7.33	413	6.49
3007	17159	17	IL	Illinois	159	Richland	16181	3594	22.21	1247	7.71	8179	50.55	3161	19.54	15588	96.34	59	0.36	11	0.07	199	1.23	0	0	14	0.09	179	1.11	131	0.81	6658	1936	29.08	2776	41.69	2017	30.29	15248	0	0	2	2	2	12587	1247	1772	1885	4522	3161	34	2.73	156	12.51	425	34.08	446	35.77	121	9.7	53	4.25	12	0.96	71	4.01	73	4.12	481	27.14	404	22.8	275	15.52	409	23.08	59	3.33	16	0.85	59	3.13	528	28.01	402	21.33	402	21.33	351	18.62	127	6.74	58	1.28	272	6.02	1386	30.65	1091	24.13	888	19.64	575	12.72	252	5.57	278	8.79	361	11.42	1458	46.12	493	15.6	116	3.67	289	9.14	166	5.25
3008	51005	51	VA	Virginia	5	Alleghany	16297	3435	21.08	1055	6.47	8418	51.65	3389	20.8	15057	92.39	801	4.92	6	0.04	127	0.78	0	0	0	0	141	0.87	165	1.01	6851	1858	27.12	3128	45.66	1774	25.89	15530	15	0.1	2	2	2	12862	1055	1376	2075	4967	3389	31	2.94	184	17.44	410	38.86	322	30.52	74	7.01	34	3.22	0	0	0	0	158	11.48	466	33.87	301	21.88	142	10.32	194	14.1	115	8.36	18	0.87	155	7.47	768	37.01	463	22.31	277	13.35	235	11.33	159	7.66	329	6.62	436	8.78	1722	34.67	1104	22.23	542	10.91	488	9.82	346	6.97	461	13.6	460	13.57	1389	40.99	614	18.12	106	3.13	243	7.17	116	3.42
3009	41053	41	OR	Oregon	53	Polk	75448	18201	24.12	9218	12.22	36582	48.49	11447	15.17	60811	80.6	313	0.41	1185	1.57	1580	2.09	281	0.37	26	0.03	2130	2.82	9122	12.09	27973	8992	32.15	10469	37.43	6853	24.5	70758	607	0.86	3	3	2	57247	9218	8481	8822	19279	11447	82	0.89	1070	11.61	2466	26.75	4608	49.99	421	4.57	556	6.03	15	0.16	375	4.42	583	6.87	2189	25.81	2320	27.36	581	6.85	1797	21.19	636	7.5	363	4.11	598	6.78	2136	24.21	2404	27.25	898	10.18	1735	19.67	688	7.8	474	2.46	849	4.4	4668	24.21	5330	27.65	1947	10.1	3793	19.67	2218	11.5	741	6.47	887	7.75	3433	29.99	2785	24.33	763	6.67	1548	13.52	1290	11.27
3010	17131	17	IL	Illinois	131	Mercer	16421	3726	22.69	1135	6.91	8549	52.06	3011	18.34	15891	96.77	87	0.53	17	0.1	45	0.27	0	0	0	0	78	0.48	303	1.85	6768	2138	31.59	2665	39.38	1535	22.68	15488	3	0.02	2	2	2	12695	1135	1642	2004	4903	3011	2	0.18	152	13.39	391	34.45	413	36.39	97	8.55	80	7.05	0	0	0	0	193	11.75	479	29.17	396	24.12	240	14.62	259	15.77	75	4.57	32	1.6	107	5.34	685	34.18	471	23.5	368	18.36	297	14.82	44	2.2	30	0.61	293	5.98	2001	40.81	1462	29.82	453	9.24	372	7.59	292	5.96	174	5.78	429	14.25	1489	49.45	542	18	83	2.76	152	5.05	142	4.72
